Word,Pron,Definition,Example,Translation_PL,Example_PL
get to know someone,ˌɡet tə ˈnəʊ ˌsʌmwʌn,to gradually begin to know someone,It’ll take a while for you to get to know everyone.,Poznaj kogoś,"Zajmie Ci trochę czasu, zanim poznasz wszystkich."
see a lot of someone,ˌsiː ə ˈlɒt əv ˌsʌmwʌn,to spend a lot of time with a particular person ,Jack's been seeing a lot of Ben recently.,Widzieć dużo kogoś,Jack ostatnio często spotyka się z Benem.
meet up with someone,ˌmiːt ˈʌp wɪðˌ sʌmwʌn,"if people meet up, they meet in order to do something together",Why don’t I meet up with you after lunch?,Spotkaj się z kimś,Dlaczego nie spotkamy się z tobą po obiedzie?
art gallery,ˈɑːt ˌɡæləri,a building where paintings are shown to the public,The Prado is a famous art gallery in Madrid.,Galeria sztuki,Prado to słynna galeria sztuki w Madrycie.
cycle lane,ˈsaɪkl leɪn,a part of a wide road that only bicycles are allowed to use,There's a cycle lane all the way into Norwich from our village.,ścieżka rowerowa,Z naszej wioski prowadzi ścieżka rowerowa aż do Norwich.
landmark,ˈlændmɑːk,"something that is easy to recognise, such as a tall tree or building, and that helps you know where you are",The Scott Monument is one of Edinburgh's most famous landmarks.,Landmark,Pomnik Scotta jest jednym z najsłynniejszych zabytków Edynburga.
neighbourhood,ˈneɪbəhʊd,an area of a town or city,She grew up in a quiet neighbourhood in Boston.,sąsiedztwo,Dorastała w spokojnej dzielnicy Bostonu.
outdoor café,ˌaʊtdɔː ˈkæfeɪ,a small restaurant where you can buy drinks and simple meals and eat or drink them outside the building,The central square was full of outdoor cafés.,kawiarnia na świeżym powietrzu,Centralny plac był pełen kawiarni na świeżym powietrzu.
pedestrian street,pəˌdestriən ˈstriːt,"a street which is only for people walking, not for vehicles",The area around the cathedral is all pedestrian streets.,Deptaku,Teren wokół katedry to wszystkie deptaki.
skyline,ˈskaɪlaɪn,the shape made by hills or buildings against the sky,Taking the Staten Island ferry is a great way to view the famous Manhattan skyline.,horyzont,Rejs promem Staten Island to świetny sposób na podziwianie słynnej panoramy Manhattanu.
square,skweə,"a large open area in the centre of a town or city, usually in the shape of a square, or the buildings surrounding it",The hotel is just off the main square of Sorrento.,kwadratowy,Hotel znajduje się tuż przy głównym placu w Sorrento.
suburb,ˈsʌbɜːb,an area where people live which is away from the centre of a town or city,We grew up in a suburb of Los Angeles.,przedmieście,Dorastaliśmy na przedmieściach Los Angeles.
traffic jam,ˈtræfɪk ˌdʒæm,"a long line of vehicles on a road, that cannot move or can only move very slowly",We were stuck in a traffic jam for two hours.,korek,Utknęliśmy w korku na dwie godziny.
through,θruː,"from one side of an area to the other, or between a group of things",We walked through the village to the farm.,przez,Przeszliśmy przez wieś do gospodarstwa.
on your/the right,ɒn jə/ðə ˈraɪt,"on the side of your body that has the hand that most people write with, or this side of anything else",Take the first turning on the right.,po Twojej / po prawej stronie,Skręć w pierwszy skręt w prawo.
on your/the left,ɒn jə/ðə ˈleft,"on the side of your body that has the hand that most people do not write with, or this side of anything else",The school is on your left as you come into the village.,po Twojej / po lewej stronie,"Szkoła znajduje się po lewej stronie, gdy wchodzisz do wioski."
next to,ˈnekst tʊ,"very close to someone or something, with no other person, building, place, etc. in between",The hotel was right next to the airport.,Obok,Hotel znajdował się tuż obok lotniska.
over,ˈəʊvə,from one side of something to the other side of it,The road over the mountains is steep and dangerous.,nad,Droga przez góry jest stroma i niebezpieczna.
around,əˈraʊnd,"on the other side of something, or to the other side of it without going through it or over it","If the gate’s locked, you’ll have to go around the side of the house.",naokoło,"Jeśli brama jest zamknięta, będziesz musiał obejść bok domu."
along,əˈlɒŋ,"a particular distance away, on or beside something long such as a line, road, edge, etc.",Hugo’s house was about two hundred yards away along the main street.,wzdłuż,"Dom Hugo znajdował się jakieś dwieście metrów dalej, przy głównej ulicy."
across,əˈkrɒs,from one side of something to the other,We’ll have to swim across the river.,przez,Będziemy musieli przepłynąć rzekę.
between,bɪˈtwiːn,"in or through the space that separates two things, people or places",I sat down between Sue and Jane.,między,Usiadłem między Sue i Jane.
active,ˈæktɪv,"always busy doing things, especially physical or mental activities","She’s over 80, but is still very active.",aktywny,"Ma ponad 80 lat, ale nadal jest bardzo aktywna."
busy,ˈbɪzi,"if you are busy, you are working hard and have a lot of things to do",Helen is a busy mother of four.,zajęty,Helen jest zapracowaną matką czwórki dzieci.
easy-going,ˌiːzi ˈɡəʊɪŋ,"not easily upset, annoyed or worried",Dad's very easy-going; he hardly ever gets cross.,Łatwy w obsłudze,Tata jest bardzo wyluzowany; Prawie nigdy się nie krzyżuje.
enerɡetic,ˌenəˈdʒetɪk,having a lot of energy,"If you’re feeling energetic, we could go out for a run.",enerɡetic,"Jeśli czujesz się energiczny, możemy wyjść pobiegać."
fun,fʌn,enjoyable and amusing,Try snowboarding – it’s a really fun sport.,zabawa,Spróbuj jazdy na snowboardzie – to naprawdę fajny sport.
healthy,ˈhelθi,good for your body,My grandmother is 95 now and still very active because she's always had a healthy lifestyle.,zdrowy,"Moja babcia ma teraz 95 lat i nadal jest bardzo aktywna, ponieważ zawsze prowadziła zdrowy tryb życia."
inactive,ɪnˈæktɪv,"not doing anything, not working or not moving",The brain cells are inactive during sleep.,nieaktywny,Komórki mózgowe są nieaktywne podczas snu.
quiet,ˈkwaɪət,without much activity or without many people,"Rebecca wants to go to the party, but Oliver wants a quiet night in.",spokojny,"Rebecca chce iść na imprezę, ale Oliver chce spędzić w niej spokojną noc."
sensible,ˈsensəbl,"reasonable, practical and showing good judgement",Moving house seemed like the sensible thing to do.,rozsądny,Przeprowadzka wydawała się rozsądnym posunięciem.
simple,ˈsɪmpl,honest and ordinary and not special in any way,Joe was just a simple farmer.,prosty,Joe był zwykłym rolnikiem.
sociable,ˈsəʊʃəbl,someone who is sociable is friendly and enjoys being with other people,"Our neighbours seem like a pleasant, sociable couple.",towarzyski,"Nasi sąsiedzi wydają się miłą, towarzyską parą."
stressful,ˈstresfl,making you worried and unable to relax,Police officers may be working in stressful conditions.,stresujący,Policjanci mogą pracować w stresujących warunkach.
unhealthy,ʌnˈhelθi,likely to make you ill,Working in an unhealthy environment is linked with various diseases.,niezdrowy,Praca w niezdrowym środowisku wiąże się z różnymi chorobami.
brand,brænd,"a type of product made by a particular company, that has a particular name or design",A company carefully protects its brand image.,marka,Firma starannie chroni wizerunek swojej marki.
environmentally friendly,ɪnˌvaɪrənmentl-i ˈfrendli,not harmful to the environment,Is there such a thing as an environmentally friendly car?,Przyjazne,Czy istnieje coś takiego jak samochód przyjazny dla środowiska?
hiɡh quality,ˌhaɪ ˈkwɒləti,very good,Our chef uses only high quality ingredients.,Wysoka jakość,Nasz szef kuchni używa tylko wysokiej jakości składników.
easy to use,ˌiːzi tə ˈjuːz,not difficult to operate,"Itˈs a great piece of software, and very easy to use.",Łatwy w użyciu,To świetne oprogramowanie i bardzo łatwe w użyciu.
ɡood value,ˌɡʊd ˈvæljuː,used to say that something is worth what you pay for it,The lunch special is really good value.,Wartość dźwięku,Oferta lunchowa jest naprawdę korzystna cenowo.
poor value,ˌpɔː ˈvæljuː,used to say that something is not worth what you pay for it,Ten dollars for a coffee is very poor value.,słaba wartość,Dziesięć dolarów za kawę to bardzo słaba wartość.
poorly desiɡned,ˌpɔːli dɪˈzaɪnd,badly drawn or planned and not suited to its purpose,"Their office is poorly designed for a media company, so they are moving to new premises.",słabo zaprojektowane,"Ich biuro jest źle zaprojektowane jak na firmę medialną, więc przenoszą się do nowej siedziby."
well desiɡned,ˌwel dɪˈzaɪnd,well drawn or planned and well suited to its purpose,The new camera equipment is well designed for use under water.,dobrze zaprojektowany,Nowy sprzęt fotograficzny jest dobrze zaprojektowany do użytku pod wodą.
excellent service,ˌeksələnt ˈsɜːvɪs,"very good help that people who work in a shop, restaurant, bar, etc. give you",We received excellent service from the bank advisers.,Doskonała obsługa,Otrzymaliśmy doskonałą obsługę ze strony doradców bankowych.
popular,ˈpɒpjələ,liked by a lot of people,Coffee is probably the most popular drink in the world.,popularny,Kawa jest prawdopodobnie najpopularniejszym napojem na świecie.
reliable,rɪˈlaɪəbl,someone or something that is reliable can be trusted or depended on,"It's a long journey, so we'll need a reliable car.",niezawodny,"To długa podróż, więc będziemy potrzebować niezawodnego samochodu."
unreliable,ˌʌnrɪˈlaɪəbl,unable to be trusted or depended on,This lawnmower is getting more and more unreliable. Let's get a new one.,Niewiarygodne,Ta kosiarka staje się coraz bardziej zawodna. Zdobądźmy nowy.
fitness tracker,ˈfɪtnəs ˌtrækə,a personal electronic device that monitors your physical activity,Their latest watch model includes a fitness tracker and GPS.,monitor fitness,Ich najnowszy model zegarka zawiera monitor fitness i GPS.
laptop,ˈlæptɒp,a small computer that you can carry with you,I used my laptop to check in for my flight.,laptop,"Użyłem laptopa, aby odprawić się na lot."
tablet,ˈtæblɪt,a computer that you can carry with you which has a touch screen and does not have a separate keyboard,Every classroom is provided with at least two tablets to assist students' learning.,tablet,"Każda sala lekcyjna jest wyposażona w co najmniej dwa tablety, które pomagają uczniom w nauce."
make-up,ˈmeɪk ʌp,coloured substances that are put on your face to improve or change your appearance,They’re not allowed to wear make-up to school.,makijaż,Nie wolno im nosić makijażu do szkoły.
perfume,ˈpɜːfjuːm,a liquid with a strong pleasant smell that women put on their skin or clothing to make themselves smell nice,What's that perfume you're wearing?,perfumy,"Co to za perfumy, które masz na sobie?"
aftershave,ˈɑːftəʃeɪv,a liquid with a nice smell that a man puts on his face after he has shaved,She gave me a bottle of my favourite aftershave.,Po goleniu,Dała mi buteleczkę mojej ulubionej wody po goleniu.
console,ˈkɒnsəʊl,an electronic machine that is used for playing games on a screen,They're bringing out a new games console in June.,konsola,W czerwcu wypuszczają nową konsolę do gier.
e-reader,ˈiː ˌriːdə,"a small piece of electronic equipment for reading books on a computer screen or on a special small computer that you can hold in your hands, and that are not printed on paper",My e-reader is very convenient for holidays; I don't need to pack any books.,czytnik e-booków,Mój czytnik e-booków jest bardzo wygodny na wakacje; Nie muszę pakować żadnych książek.
luɡɡaɡe,ˈlʌɡɪdʒ,"the cases, bags, etc. that you carry when you are travelling",Security officers checked every piece of luggage.,luɡɡaɡe,Funkcjonariusze służby bezpieczeństwa sprawdzali każdy bagaż.
jewellery,ˈdʒuːəlri,"small things that you wear for decoration, such as rings or necklaces",She wears a lot of gold jewellery.,biżuteria,Nosi dużo złotej biżuterii.
action film,ˈækʃən fɪlm,"an action film has a lot of exciting scenes in it, in which people fight, chase and kill each other",Gibson became famous in action films.,film akcji,Gibson zasłynął w filmach akcji.
animation,ˌænəˈmeɪʃn,"a film, television programme, computer game, etc. that has pictures, clay models, etc. that seem to be really moving",The animation tells the story of an inventor and his dog landing on the moon.,animacja,Animacja opowiada historię wynalazcy i jego psa lądujących na Księżycu.
biopic,ˈbaɪəʊˌpɪk,a film that tells the story of someone’s life,Mandela died shortly after his biopic was released.,Biograficzny,Mandela zmarł wkrótce po ukazaniu się jego biografii.
comedy,ˈkɒmədi,"a play, film or television programme that is intended to make people laugh",The film is a comedy about an unsuccessful secret agent.,komedia,Film jest komedią o nieudanym tajnym agencie.
documentary,ˌdɒkjəˈmentəri,a film or a television or radio programme that gives detailed information about a particular subject,A local film crew is making a documentary about volcanoes.,film dokumentalny,Lokalna ekipa filmowa kręci film dokumentalny o wulkanach.
fantasy,ˈfæntəsi,"a story, film, etc. that is based on imagination and not facts",The fantasy series is based on the famous novels by Tolkien. ,fantasy,Serial fantasy oparty jest na słynnych powieściach Tolkiena. 
historical drama,hɪsˌtɒrɪkl ˈdrɑːmə,a film or a television or radio programme describing or based on events in the past,It's a historical drama set in eighteenth-century Russia.,dramat historyczny,"To dramat historyczny, którego akcja rozgrywa się w XVIII-wiecznej Rosji."
horror film,ˈhɒrə fɪlm,"a film about something that is very terrible, shocking or frightening",I can't watch horror films – they're just too frightening!,horror,Nie mogę oglądać horrorów – są po prostu zbyt przerażające!
musical,ˈmjuːzɪkl,a play or film that includes singing and dancing,Webber had three musicals playing in London at one time.,musical,Webber wystawiał w tym samym czasie w Londynie trzy musicale.
romantic comedy,rəʊˌmæntɪk ˈkɒmədi,a film that is intended to make people laugh and that involves a love story,Four Weddings and a Funeral' is a well-known romantic comedy.,komedia romantyczna,"Cztery wesela i pogrzeb"" to znana komedia romantyczna."
science fiction film,ˌsaɪəns ˈfɪkʃn fɪlm,"a film about events in the future that are affected by imaginary developments in science, for example about travelling in time or to other planets with life on them",‘2001: A Space Odyssey’ is probably the most famous science fiction film ever made.,film science fiction,"""2001: Odyseja kosmiczna"" to prawdopodobnie najsłynniejszy film science fiction, jaki kiedykolwiek powstał."
thriller,ˈθrɪlə,a book or film that tells an exciting story about murder or crime,‘The Birds’ is a classic Hitchcock thriller.,Thriller,"""Ptaki"" to klasyczny thriller Hitchcocka."
war film,ˈwɔː fɪlm,"a film about fighting between two or more countries or between opposing groups within a country, involving large numbers of soldiers and weapons",Many US war films feature the Vietnam War.,film wojenny,W wielu amerykańskich filmach wojennych pojawia się wojna w Wietnamie.
popular,ˈpɒpjələ,liked by a lot of people,Business management courses are increasingly popular.,popularny,Kursy z zarządzania przedsiębiorstwem cieszą się coraz większą popularnością.
popularity,ˌpɒpjəˈlærəti,when something or someone is liked or supported by a lot of people,Extreme sports are growing in popularity.,popularność,Sporty ekstremalne zyskują na popularności.
active,ˈæktɪv,"always busy doing things, especially physical or mental activities",My father always led a very active life.,aktywny,Mój ojciec zawsze prowadził bardzo aktywne życie.
action,ˈækʃn,"the process of doing something, especially in order to achieve a particular thing",Environmental groups want tougher action on pollution from cars.,akcja,Organizacje ekologiczne domagają się bardziej zdecydowanych działań w sprawie zanieczyszczeń pochodzących z samochodów.
reliable,rɪˈlaɪəbl,someone or something that is reliable can be trusted or depended on ,The information had come from a reliable source.,niezawodny,Informacja pochodziła z wiarygodnego źródła.
reliability,rɪˌlaɪəˈbɪləti,the quality of being accurate or able to be trusted,Reliability is an important quality for a pilot.,niezawodność,Niezawodność to ważna cecha dla pilota.
animated,ˈænɪmeɪtɪd,"(a film, television programme, computer game, etc.) showing pictures, clay models, etc. that seem to be really moving",Disney is most famous for making animated films.,ożywiony,Disney jest najbardziej znany z tworzenia filmów animowanych.
animation,ˌænɪˈmeɪʃn,"the process of making animated films, television programmes, computer games, etc.",They used computer animation in the film.,animacja,W filmie wykorzystano animację komputerową.
environmental,ɪnˌvaɪrənˈmentl,"concerning or affecting the air, land or water on Earth ","Environmental issues, such as cliff erosion and pollution, directly affect people’s lives.",Środowiska,"Kwestie środowiskowe, takie jak erozja klifów i zanieczyszczenie, mają bezpośredni wpływ na życie ludzi."
environment,ɪnˈvaɪrənmənt,"the air, water and land on Earth, which is affected by man’s activities",The government insists that the dam will not harm the environment.,środowisko,"Rząd upiera się, że zapora nie zaszkodzi środowisku."
romantic,rəʊˈmæntɪk,relating to feelings of love or a loving relationship,"After dinner, they went for a romantic walk by the sea.",romantyczny,Po kolacji wybrali się na romantyczny spacer nad morzem.
romance,"rəʊˈmæns, ˈrəʊmæns","love, or a feeling of being in love",The romance had gone out of their relationship.,romans,Romans zniknął z ich związku.
tired,taɪəd,feeling that you want to sleep or rest,He was tired from walking all day.,zmęczony,Był zmęczony całodziennym chodzeniem.
tiredness,ˈtaɪədnəs,the feeling you get when you want to sleep or rest,Tiredness is one of the symptoms of her illness.,zmęczenie,Zmęczenie jest jednym z objawów jej choroby.
education,ˌedjʊˈkeɪʃn,"the process of teaching and learning, usually at school, college or university","She had a poor education, and left school without qualifications.",edukacja,Miała słabe wykształcenie i opuściła szkołę bez kwalifikacji.
relaxation,ˌriːlækˈseɪʃn,a way of resting and enjoying yourself,I play the piano for relaxation.,relaks,Gram na pianinie dla relaksu.
application,ˌæplɪˈkeɪʃn,"a formal, usually written, request for something such as a job, place at university, or permission to do something",The university welcomes applications from overseas students.,aplikacja,Uczelnia przyjmuje zgłoszenia od studentów zagranicznych.
responsibility,rɪˌspɒnsəˈbɪləti,"a duty to be in charge of someone or something, so that you make decisions and can be blamed if something bad happens",It’s your responsibility to inform us of any changes.,odpowiedzialność,Twoim obowiązkiem jest informowanie nas o wszelkich zmianach.
electricity,"ɪˌlekˈtrɪsəti, ˌelɪk-","the power that is carried by wires, cables, etc. and is used to provide light or heat, to make machines work, etc.",The storms have disrupted the electricity supply to some areas.,elektryczność,Burze zakłóciły dostawy energii elektrycznej do niektórych obszarów.
creativity,ˌkriːeɪˈtɪvəti,"the ability to use your imagination to produce new ideas, make things, etc.",Editors complain about the lack of creativity in the ideas put to them.,kreatywność,Redaktorzy skarżą się na brak kreatywności w przedstawianych im pomysłach.
government,"ˈɡʌvəmənt, ˈɡʌvənmənt",the group of people who govern a country or state,The UK government has offered to send aid.,rząd,Rząd Wielkiej Brytanii zaoferował wysłanie pomocy.
advertisement,ədˈvɜːtəsmənt,"a picture, set of words, or a short film that is intended to persuade people to buy a product or use a service, or that gives information about a job that is available, an event that is going to happen, etc.",The Sunday papers are full of advertisements for cars.,ogłoszenie,Niedzielne gazety pełne są reklam samochodów.
excitement,ɪkˈsaɪtmənt,"happiness, interest or hope because something good has happened or will happen",Her excitement grew as the day of the wedding came nearer.,podniecenie,"Jej podniecenie rosło, w miarę jak zbliżał się dzień ślubu."
excellence,ˈeksləns,being extremely good or of very high quality,The university's reputation for excellence is well deserved.,doskonałość,Reputacja uniwersytetu w zakresie doskonałości jest w pełni zasłużona.
difference,ˈdɪfrəns,a way in which two or more people or things are not like each other,There’s only a slight difference between the male and the female bird.,różnica,Jest tylko niewielka różnica między samcem a samicą ptaka.
convenience,kənˈviːniəns,"the quality of being suitable or useful for a particular purpose, especially by making something easier or saving you time",Most of us like the convenience of using credit cards to buy things.,wygoda,Większość z nas lubi wygodę korzystania z kart kredytowych do kupowania rzeczy.
happiness,ˈhæpinəs,the state of being happy,His grandchildren bring him great happiness.,szczęście,Wielkie szczęście przynoszą mu wnuki.
lateness,ˈleɪtnəs,"arriving, happening or done after the time that was expected, agreed or arranged",Your repeated lateness is not acceptable.,Opóźnienie,Twoje powtarzające się spóźnienia są niedopuszczalne.
darkness,ˈdɑːknəs,when there is no light,We ended up coming down the mountain in total darkness.,ciemność,"Skończyło się na tym, że zeszliśmy z góry w całkowitych ciemnościach."
instruction,ɪnˈstrʌkʃn,(a piece of) written information that tells you how to do or use something,Always read the instructions before switching on the machine.,polecenie,Zawsze czytaj instrukcję przed włączeniem urządzenia.
fashion,ˈfæʃn,something that is popular or thought to be good at a particular time,Young people are very concerned with fashion.,moda,Młodzi ludzie są bardzo zainteresowani modą.
completion,kəmˈpliːʃn,the state of being finished,The project has a completion date of 22nd December.,ukończenie,Zakończenie projektu planowane jest na 22 grudnia.
appearance,əˈpɪərəns,the way someone or something looks to other people,They’ve changed the appearance of the whole building.,wygląd,Zmienili wygląd całego budynku.
importance,ɪmˈpɔːtəns,having a big effect or influence on people’s lives or on events in the future,I'd like to emphasise the importance of reading exam questions carefully.,znaczenie,"Chciałbym podkreślić, jak ważne jest uważne czytanie pytań egzaminacyjnych."
distance,ˈdɪstəns,the amount of space between two places or things,Now we are able to measure the distances between the planets.,odległość,Teraz jesteśmy w stanie zmierzyć odległości między planetami.
fashionable,ˈfæʃnəbl,"popular, especially for a short period of time",It was fashionable to have red hair.,modny,Modne było posiadanie rudych włosów.
stylish,ˈstaɪlɪʃ,fashionable and well-designed in an attractive way,The furniture looked very stylish and modern.,szykowny,Mebel prezentował się bardzo stylowo i nowocześnie.
matching,ˈmætʃɪŋ,"having the same colour, style or pattern as something else ",She wore a ruby necklace with matching earrings.,Dopasowania,Nosiła rubinowy naszyjnik z pasującymi kolczykami.
dress up,ˌdres ˈʌp,to wear clothes that are more formal than the ones you would usually wear,"It’s a small, informal party – you don’t have to dress up.",wystroić,"To mała, nieformalna impreza – nie musisz się przebierać."
smart,smɑːt,"smart clothes, buildings, etc. are clean, tidy and attractive",He wore a smart black suit for the interview.,elegancki,Na rozmowę kwalifikacyjną założył elegancki garnitur.
casual,ˈkæʒuəl,not formal or not for a formal situation,Jean felt more comfortable in casual clothes.,dorywczy,Jean czuła się bardziej komfortowo w codziennych ubraniach.
old-fashioned,ˌəʊld ˈfæʃnd,not considered to be modern or fashionable any more,I can’t wear that dress – it’s too old-fashioned.,staromodny,Nie mogę nosić tej sukienki – jest zbyt staromodna.
have got something on,hæv ˌɡɒt sʌmθɪŋ ˈɒn,to be wearing a piece of clothing or type of clothing,Jimmy had nothing on but his socks.,masz coś na sobie,Jimmy nie miał na sobie nic poza skarpetkami.
tight,taɪt,"tight clothes fit your body very closely, especially in a way that is uncomfortable",My shoes were so tight that I could hardly walk.,napięty,"Moje buty były tak ciasne, że ledwo mogłam chodzić."
loose,luːs,loose clothes are big and do not fit your body tightly,She usually wears jeans and loose sweatshirts.,luźny,Zazwyczaj nosi dżinsy i luźne bluzy.
earrings,ˈɪərɪŋz,a piece of jewellery that you wear on your ear,She was wearing a pair of beautiful diamond earrings.,Kolczyki,Miała na sobie parę pięknych diamentowych kolczyków.
scarf,skɑːf,"a piece of cloth that you wear around your neck, head or shoulders, especially to keep warm",I wore a dark coat and my favourite silk scarf.,szalik,Miałam na sobie ciemny płaszcz i moją ulubioną jedwabną apaszkę.
trainers,ˈtreɪnəz,a type of strong shoes that you wear for sport ,Bring your trainers – we'll probably play football in the park later.,Trenerzy,Zabierzcie ze sobą buty sportowe – pewnie później pogramy w piłkę w parku.
belt,belt,"a band of leather, cloth, etc. that you wear around your waist to hold up your clothes or for decoration",He unbuckled his leather belt.,pas,Odpiął skórzany pasek.
sandals,ˈsændlz,"light shoes that are fastened onto your feet by bands of leather or cloth, and are worn in warm weather","The children wore T-shirts, shorts and sandals to go to the beach.",Sandały,"Dzieci założyły koszulki, szorty i sandały, aby pójść na plażę."
high heels,ˌhaɪ ˈhiːlz,women’s shoes with high heels,Whenever she wore high heels she was taller than the men she worked with.,Wysokie obcasy,"Za każdym razem, gdy nosiła buty na obcasie, była wyższa od mężczyzn, z którymi pracowała."
bracelet,ˈbreɪslɪt,a band or chain that you wear around your wrist or arm as a decoration ,She often wears a silver bracelet that her husband gave her.,bransoletka,"Często nosi srebrną bransoletkę, którą podarował jej mąż."
tie,taɪ,"a long narrow piece of cloth tied in a knot around the neck, worn by men",I wear a shirt and tie at work.,krawat,W pracy noszę koszulę i krawat.
tracksuit,ˈtræksuːt,"loose clothes consisting of trousers and a jacket, worn especially for sport",The player wore his new team tracksuit for the press interview. ,dres,Do wywiadu prasowego zawodnik założył swój nowy dres drużynowy. 
sweatshirt,ˈswet-ʃɜːt,a loose warm piece of clothing which covers the top part of your body and arms and is worn especially for sport or relaxation,The team were wearing sweatshirts to keep warm before the game started.,bluza,"Drużyna miała na sobie bluzy, aby się ogrzać przed rozpoczęciem meczu."
air conditioning,ˈeə kənˌdɪʃnɪŋ,a system that makes the air in a room or building cooler and drier,We only turn on the air conditioning when the weather gets very hot.,klimatyzacja,"Klimatyzację włączamy dopiero wtedy, gdy robi się bardzo gorąco."
balcony,ˈbælkəni,"a structure that you can stand on, that is attached to the outside wall of a building, above ground level",We ate breakfast on the balcony of our hotel room every day.,balkon,Codziennie jedliśmy śniadanie na balkonie naszego pokoju hotelowego.
block of flats,ˌblɒk əv ˈflæts,a large building divided into separate living spaces,They live in one of the new blocks of flats near the hospital.,blok mieszkalny,Mieszkają w jednym z nowych bloków mieszkalnych w pobliżu szpitala.
ceiling,ˈsiːlɪŋ,the inner surface of the top part of a room,All the rooms have high ceilings.,sufit,Wszystkie pokoje mają wysokie sufity.
central heating,ˌsentrəl ˈhiːtɪŋ,"a system of heating buildings in which water or air is heated in one place and then sent around the rest of the building through pipes, etc.",We need a new boiler for the central heating.,centralne ogrzewanie,Potrzebujemy nowego kotła do centralnego ogrzewania.
cottage,ˈkɒtɪdʒ,a small house in the country,They live in London but they also have a weekend cottage by the sea.,chałupa,"Mieszkają w Londynie, ale mają też weekendowy domek nad morzem."
detached house,dɪˌtætʃt ˈhaʊs,a detached house is not joined to another building,I grew up in an old detached house with a large garden.,Dom wolnostojący,Wychowałam się w starym domu jednorodzinnym z dużym ogrodem.
entrance,ˈentrəns,"a door, gate, etc. that you go through to enter a place",She found a parking space close to the hospital's main entrance.,wejście,Znalazła miejsce parkingowe w pobliżu głównego wejścia do szpitala.
floor,flɔː,the flat surface that you stand on inside a building,There was a puddle of water on the kitchen floor.,piętro,Na podłodze w kuchni leżała kałuża wody.
patio,ˈpætiəʊ,"a flat hard area near a house, where people sit outside",We invited friends for a barbecue on the new patio.,patio,Zaprosiliśmy znajomych na grilla na nowym patio.
roof,ruːf,"the structure that covers or forms the top of a building, vehicle, tent, etc.",Birds were perching on the roof of the farmhouse.,dach,Ptaki przysiadały na dachu gospodarstwa.
staircase,ˈsteəkeɪs,"a set of stairs inside a building, with its supports and the side parts that you hold on to",A wooden staircase leads to the top floor of the house.,schody,Na najwyższe piętro domu prowadzą drewniane schody.
studio,ˈstjuːdiəʊ,a room where an artist or photographer regularly works,Craig uses the spare bedroom as a photography studio.,studio,Craig wykorzystuje wolną sypialnię jako studio fotograficzne.
terraced house,ˌterəst ˈhaʊs,a house which is part of a row of houses that are joined together,The house we're going to look at is in the middle of a row of Victorian terraced houses.,dom w zabudowie szeregowej,"Dom, któremu zamierzamy się przyjrzeć, znajduje się pośrodku rzędu wiktoriańskich domów szeregowych."
dairy products,ˈdeəri ˌprɒdʌkts,"milk, butter, cheese, etc.",Many people prefer dairy products from goats and sheep.,produkty mleczne,Wiele osób preferuje produkty mleczne od kóz i owiec.
fish,fɪʃ,the flesh of a fish used as food,"In Japan, people eat raw fish.",ryba,W Japonii ludzie jedzą surowe ryby.
fruit,fruːt,"something that grows on a plant, tree or bush, can be eaten as a food, contains seeds or a stone, and is usually sweet",Try to eat plenty of fresh fruit.,owoc,Staraj się jeść dużo świeżych owoców.
meat,miːt,the flesh of animals and birds eaten as food,People are eating less meat these days.,mięso,W dzisiejszych czasach ludzie jedzą mniej mięsa.
seafood,ˈsiːfuːd,"animals from the sea that you can eat, for example fish and shellfish","You can buy seafood in the harbour, straight from the fishing boats.",Owoce morza,"Owoce morza można kupić w porcie, prosto z kutrów rybackich."
vegetable,ˈvedʒtəbl,"a plant that is eaten raw or cooked, such as a cabbage, a carrot or peas",Some vegetables are better eaten raw.,jarzyna,Niektóre warzywa lepiej jeść na surowo.
vegetarian,ˌvedʒəˈteəriən,suitable for someone who does not eat meat or fish,Our local restaurant always has a good range of vegetarian dishes on the menu.,wegetariański,Nasza lokalna restauracja zawsze ma w menu duży wybór dań wegetariańskich.
sweet,swiːt,containing or having a taste like sugar,This tea is too sweet.,słodki,Ta herbata jest zbyt słodka.
savoury,ˈseɪvəri,savoury food tastes of salt,They sell pancakes with sweet and savoury fillings.,Pikantne,Sprzedają naleśniki ze słodkim i słonym nadzieniem.
fresh,freʃ,"fresh food has recently been picked or prepared, and is not frozen or preserved",The beans are fresh from the garden.,świeży,Fasola jest świeża z ogrodu.
spicy,ˈspaɪsi,"food that is spicy has a pleasantly strong taste, and gives you a pleasant burning feeling in your mouth","Harry makes a lovely pasta dish, with a spicy tomato sauce.",pikantny,Harry robi pyszne danie z makaronu z pikantnym sosem pomidorowym.
tasty,ˈteɪsti,"food that is tasty has a good taste, but is not sweet",Alex cooked a simple but tasty meal for all the helpers.,smaczny,"Alex ugotował prosty, ale smaczny posiłek dla wszystkich pomocników."
hot,hɒt,food that tastes hot has a burning taste because it contains strong spices,I love Mexican food – but that was too hot even for me!,gorący,Uwielbiam meksykańskie jedzenie – ale to było za gorące nawet dla mnie!
fried,fraɪd,having been cooked in hot oil,The chicken is delicious served with fried onions.,smażony,Kurczak jest pyszny podawany ze smażoną cebulą.
